
 Read odom 

 odom: left 9589507 | right 9580069

 odom: left 9589507 | right 9580069

 odom: left 9589507 | right 9580069

 odom: left 9589507 | right 9580269

 odom: left 9589707 | right 9580269

 odom: left 9589707 | right 9580269

 odom: left 9589707 | right 9580269

 odom: left 9589707 | right 9580269

 odom: left 9589907 | right 9580469

 odom: left 9589907 | right 9580469

 odom: left 9589907 | right 9580469

 odom: left 9589907 | right 9580469

 odom: left 9589907 | right 9580469

 odom: left 9590106 | right 9580669

 odom: left 9590106 | right 9580669

 odom: left 9590106 | right 9580669

 odom: left 9590106 | right 9580669

 odom: left 9590106 | right 9580669

 odom: left 9590306 | right 9580868

 odom: left 9590306 | right 9580868

 odom: left 9590306 | right 9580868

 odom: left 9590306 | right 9580868

 odom: left 9590306 | right 9580868

 odom: left 9590507 | right 9581069

 odom: left 9590507 | right 9581069

 odom: left 9590507 | right 9581069

 odom: left 9590507 | right 9581069

 odom: left 9590707 | right 9581270

 odom: left 9590707 | right 9581270

 odom: left 9590707 | right 9581270

 odom: left 9590707 | right 9581270

 odom: left 9590907 | right 9581471

 odom: left 9590907 | right 9581471

 odom: left 9590907 | right 9581471

 odom: left 9590907 | right 9581471

 odom: left 9590907 | right 9581471

 odom: left 9591108 | right 9581671

 odom: left 9591108 | right 9581671

 odom: left 9591108 | right 9581671

 odom: left 9591108 | right 9581671

 odom: left 9591307 | right 9581871

 odom: left 9591307 | right 9581871

 odom: left 9591307 | right 9581871

 odom: left 9591307 | right 9581871

 odom: left 9591507 | right 9582071

 odom: left 9591507 | right 9582071

 odom: left 9591507 | right 9582071

 odom: left 9591507 | right 9582071

 odom: left 9591507 | right 9582071

 odom: left 9591707 | right 9582271

 odom: left 9591707 | right 9582271

 odom: left 9591707 | right 9582271

 odom: left 9591707 | right 9582271

 odom: left 9591907 | right 9582471

 odom: left 9591907 | right 9582471

 odom: left 9591907 | right 9582471

 odom: left 9591907 | right 9582471

 odom: left 9592107 | right 9582671

 odom: left 9592107 | right 9582671

 odom: left 9592107 | right 9582671

 odom: left 9592107 | right 9582671

 odom: left 9592107 | right 9582671

 odom: left 9592308 | right 9582870

 odom: left 9592308 | right 9582870

 odom: left 9592308 | right 9582870

 odom: left 9592308 | right 9582870

 odom: left 9592509 | right 9583070

 odom: left 9592509 | right 9583070

 odom: left 9592509 | right 9583070

 odom: left 9592509 | right 9583070

 odom: left 9592708 | right 9583269

 odom: left 9592708 | right 9583269

 odom: left 9592708 | right 9583269

 odom: left 9592708 | right 9583269

 odom: left 9592708 | right 9583269

 odom: left 9592908 | right 9583468

 odom: left 9592908 | right 9583468

 odom: left 9592908 | right 9583468

 odom: left 9592908 | right 9583468

 odom: left 9593109 | right 9583669

 odom: left 9593109 | right 9583669

 odom: left 9593109 | right 9583669

 odom: left 9593109 | right 9583669

 odom: left 9593308 | right 9583868

 odom: left 9593308 | right 9583868

 odom: left 9593308 | right 9583868

 odom: left 9593308 | right 9583868

 odom: left 9593308 | right 9583868

 odom: left 9593509 | right 9584069

 odom: left 9593509 | right 9584069

 odom: left 9593509 | right 9584069

 odom: left 9593509 | right 9584069

 odom: left 9593709 | right 9584270

 odom: left 9593709 | right 9584270

 odom: left 9593709 | right 9584270

 odom: left 9593709 | right 9584270

 odom: left 9593909 | right 9584470

 odom: left 9593909 | right 9584470

 odom: left 9593909 | right 9584470

 odom: left 9593909 | right 9584470

 odom: left 9593909 | right 9584470

 odom: left 9594110 | right 9584671

 odom: left 9594110 | right 9584671

 odom: left 9594110 | right 9584671

 odom: left 9594110 | right 9584671

 odom: left 9594310 | right 9584870

 odom: left 9594310 | right 9584870

 odom: left 9594310 | right 9584870

 odom: left 9594310 | right 9584870

 odom: left 9594510 | right 9585071

 odom: left 9594510 | right 9585071

 odom: left 9594510 | right 9585071

 odom: left 9594510 | right 9585071

 odom: left 9594510 | right 9585071

 odom: left 9594710 | right 9585272

 odom: left 9594710 | right 9585272

 odom: left 9594710 | right 9585272

 odom: left 9594710 | right 9585272

 odom: left 9594710 | right 9585472

 odom: left 9594910 | right 9585472

 odom: left 9594910 | right 9585472

 odom: left 9594910 | right 9585472

 odom: left 9594910 | right 9585472

 odom: left 9595112 | right 9585674

 odom: left 9595112 | right 9585674

 odom: left 9595112 | right 9585674

 odom: left 9595112 | right 9585674

 odom: left 9595312 | right 9585874

 odom: left 9595312 | right 9585874

 odom: left 9595312 | right 9585874

 odom: left 9595312 | right 9585874

 odom: left 9595312 | right 9586075

 odom: left 9595513 | right 9586075

 odom: left 9595513 | right 9586075

 odom: left 9595513 | right 9586075

 odom: left 9595513 | right 9586075

 odom: left 9595713 | right 9586276

 odom: left 9595713 | right 9586276

 odom: left 9595713 | right 9586276

 odom: left 9595713 | right 9586276

 odom: left 9595912 | right 9586476

 odom: left 9595912 | right 9586476

 odom: left 9595912 | right 9586476

 odom: left 9595912 | right 9586476

 odom: left 9596111 | right 9586676

 odom: left 9596111 | right 9586676

 odom: left 9596111 | right 9586676

 odom: left 9596111 | right 9586676

 odom: left 9596310 | right 9586876

 odom: left 9596310 | right 9586876

 odom: left 9596310 | right 9586876

 odom: left 9596310 | right 9586876

 odom: left 9596310 | right 9586876

 odom: left 9596507 | right 9587075

 odom: left 9596507 | right 9587075

 odom: left 9596507 | right 9587075

 odom: left 9596507 | right 9587075

 odom: left 9596706 | right 9587276

 odom: left 9596706 | right 9587276

 odom: left 9596706 | right 9587276

 odom: left 9596706 | right 9587276

 odom: left 9596706 | right 9587475

 odom: left 9596904 | right 9587475

 odom: left 9596904 | right 9587475

 odom: left 9596904 | right 9587475

 odom: left 9596904 | right 9587475

 odom: left 9597104 | right 9587674

 odom: left 9597104 | right 9587674

 odom: left 9597104 | right 9587674

 odom: left 9597104 | right 9587674

 odom: left 9597303 | right 9587873

 odom: left 9597303 | right 9587873

 odom: left 9597303 | right 9587873

 odom: left 9597303 | right 9587873

 odom: left 9597303 | right 9588072

 odom: left 9597501 | right 9588072

 odom: left 9597501 | right 9588072

 odom: left 9597501 | right 9588072

 odom: left 9597501 | right 9588072

 odom: left 9597701 | right 9588272

 odom: left 9597701 | right 9588272

 odom: left 9597701 | right 9588272

 odom: left 9597701 | right 9588272

 odom: left 9597900 | right 9588471

 odom: left 9597900 | right 9588471

 odom: left 9597900 | right 9588471

 odom: left 9597900 | right 9588471

 odom: left 9597900 | right 9588670

 odom: left 9598099 | right 9588670

 odom: left 9598099 | right 9588670

 odom: left 9598099 | right 9588670

 odom: left 9598099 | right 9588670

 odom: left 9598298 | right 9588871

 odom: left 9598298 | right 9588871

 odom: left 9598298 | right 9588871

 odom: left 9598298 | right 9588871

 odom: left 9598496 | right 9589070

 odom: left 9598496 | right 9589070

 odom: left 9598496 | right 9589070

 odom: left 9598496 | right 9589070

 odom: left 9598496 | right 9589271

 odom: left 9598696 | right 9589271

 odom: left 9598696 | right 9589271

 odom: left 9598696 | right 9589271

 odom: left 9598696 | right 9589271

 odom: left 9598895 | right 9589471

 odom: left 9598895 | right 9589471

 odom: left 9598895 | right 9589471

 odom: left 9598895 | right 9589471

 odom: left 9599094 | right 9589672

 odom: left 9599094 | right 9589672

 odom: left 9599094 | right 9589672

 odom: left 9599094 | right 9589672

 odom: left 9599094 | right 9589872

 odom: left 9599294 | right 9589872

 odom: left 9599294 | right 9589872

 odom: left 9599294 | right 9589872

 odom: left 9599294 | right 9589872

 odom: left 9599493 | right 9590071

 odom: left 9599493 | right 9590071

 odom: left 9599493 | right 9590071

 odom: left 9599493 | right 9590071

 odom: left 9599493 | right 9590272

 odom: left 9599695 | right 9590272

 odom: left 9599695 | right 9590272

 odom: left 9599695 | right 9590272

 odom: left 9599695 | right 9590272

 odom: left 9599896 | right 9590472

 odom: left 9599896 | right 9590472

 odom: left 9599896 | right 9590472

 odom: left 9599896 | right 9590472

 odom: left 9599896 | right 9590472

 odom: left 9600098 | right 9590672

 odom: left 9600098 | right 9590672

 odom: left 9600098 | right 9590672

 odom: left 9600098 | right 9590672

 odom: left 9600098 | right 9590672

 odom: left 9600300 | right 9590872

 odom: left 9600300 | right 9590872

 odom: left 9600300 | right 9590872

 odom: left 9600300 | right 9590872

 odom: left 9600300 | right 9590872

 odom: left 9600501 | right 9591071

 odom: left 9600501 | right 9591071

 odom: left 9600501 | right 9591071

 odom: left 9600501 | right 9591071

 odom: left 9600501 | right 9591071

 odom: left 9600703 | right 9591272

 odom: left 9600703 | right 9591272

